Province/State,Country/Region,Lat,Long,ISO 3166-1 Alpha 3-Codes,Sub-region Name,Intermediate Region Code,Date,Deaths,Cases,Recovered,Hospitalised
Isle of Man,United Kingdom,54.2361,-4.5481,IMN,Northern Europe,0,31/03/2020,0,60,0,1134
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,17/11/2020,6,720,695,1134
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,FLK,Latin America and the Caribbean,5,03/05/2020,0,13,13,1135
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,19/11/2020,6,721,698,1135
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,09/11/2020,1,250,236,1136
Isle of Man,United Kingdom,54.2361,-4.5481,IMN,Northern Europe,0,07/05/2020,23,329,271,1136
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,30/04/2020,1,73,10,1137
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,13/11/2020,48,1003,813,1137
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,18/11/2020,6,720,695,1137
Bermuda,United Kingdom,32.3078,-64.7505,BMU,Northern America,0,17/12/2020,9,485,255,1138
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,-7.9467,-14.3559,GBR,Northern Europe,0,27/12/2020,0,4,3,1138
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,04/04/2020,0,5,0,1138
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,13/12/2020,6,769,741,1140
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,14/11/2020,48,1003,815,1141
Others,United Kingdom,55.3781,-3.436,GBR,Northern Europe,0,08/04/2020,8575,76646,135,1141
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,29/11/2020,48,1218,975,1142
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,01/12/2020,48,1341,1012,1142
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,09/12/2020,48,1786,1088,1143
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,FLK,Latin America and the Caribbean,5,07/11/2020,0,13,13,1145
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,14/05/2020,0,3,3,1147
Bermuda,United Kingdom,32.3078,-64.7505,BMU,Northern America,0,18/12/2020,9,497,261,1147
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,27/10/2020,0,3,3,1148
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,04/03/2021,0,18,18,1148
Bermuda,United Kingdom,32.3078,-64.7505,BMU,Northern America,0,21/04/2020,5,86,37,1148
Gibraltar,United Kingdom,36.1408,-5.3536,GIB,Southern Europe,0,07/04/2021,94,4275,4171,377
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,07/12/2020,48,1676,1088,1149
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,23/11/2020,6,746,700,1149
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,FLK,Latin America and the Caribbean,5,02/05/2020,0,13,13,1150
Others,United Kingdom,55.3781,-3.436,GBR,Northern Europe,0,25/12/2020,70195,2221312,0,1150
Isle of Man,United Kingdom,54.2361,-4.5481,IMN,Northern Europe,0,28/02/2021,25,484,411,1151
Montserrat,United Kingdom,16.742498,-62.187366,MSR,Latin America and the Caribbean,29,19/05/2020,1,11,10,1151
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,08/12/2020,48,1748,1088,1153
Others,United Kingdom,55.3781,-3.436,GBR,Northern Europe,0,13/02/2021,116908,4027106,0,1153
Others,United Kingdom,55.3781,-3.436,GBR,Northern Europe,0,09/04/2020,9691,81498,135,1155
Others,United Kingdom,55.3781,-3.436,GBR,Northern Europe,0,15/02/2021,117396,4047843,0,1155
Gibraltar,United Kingdom,36.1408,-5.3536,GIB,Southern Europe,0,08/04/2021,94,4276,4178,359
Others,United Kingdom,55.3781,-3.436,GBR,Northern Europe,0,14/02/2021,117166,4038078,0,1158
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,26/04/2020,35,525,332,1159
Bermuda,United Kingdom,32.3078,-64.7505,BMU,Northern America,0,17/04/2020,5,83,35,1160
Bermuda,United Kingdom,32.3078,-64.7505,BMU,Northern America,0,20/04/2020,5,86,37,1160
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,27/11/2020,48,1218,960,1160
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,30/11/2020,48,1299,1012,1160
Isle of Man,United Kingdom,54.2361,-4.5481,IMN,Northern Europe,0,01/03/2021,25,486,411,1160
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,23/04/2020,1,11,4,1161
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,19/02/2021,13,1984,1690,1161
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,25/04/2020,35,525,332,1162
Gibraltar,United Kingdom,36.1408,-5.3536,GIB,Southern Europe,0,09/04/2021,94,4277,4178,349
Montserrat,United Kingdom,16.742498,-62.187366,MSR,Latin America and the Caribbean,29,26/10/2020,1,13,12,1162
Others,United Kingdom,55.3781,-3.436,GBR,Northern Europe,0,21/12/2020,67616,2073511,0,1162
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,29/04/2020,1,73,10,1164
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,FLK,Latin America and the Caribbean,5,08/11/2020,0,13,13,1164
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,30/03/2020,0,2,0,1165
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,24/02/2021,2,431,405,1165
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,03/04/2020,1,28,0,1166
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,27/04/2020,35,525,352,1166
Bermuda,United Kingdom,32.3078,-64.7505,BMU,Northern America,0,18/04/2020,5,83,35,1167
Bermuda,United Kingdom,32.3078,-64.7505,BMU,Northern America,0,17/02/2021,12,697,679,1167
Others,United Kingdom,55.3781,-3.436,GBR,Northern Europe,0,23/12/2020,69051,2149551,0,1167
Bermuda,United Kingdom,32.3078,-64.7505,BMU,Northern America,0,19/12/2020,9,516,267,1168
Others,United Kingdom,55.3781,-3.436,GBR,Northern Europe,0,11/04/2020,11656,89390,344,1169
Bermuda,United Kingdom,32.3078,-64.7505,BMU,Northern America,0,06/04/2020,2,39,17,1170
Others,United Kingdom,55.3781,-3.436,GBR,Northern Europe,0,10/04/2020,10813,85813,344,1170
Others,United Kingdom,55.3781,-3.436,GBR,Northern Europe,0,14/04/2020,14113,101393,0,1170
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,10/12/2020,48,1844,1088,1171
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,-7.9467,-14.3559,GBR,Northern Europe,0,11/02/2021,0,4,4,1171
Others,United Kingdom,55.3781,-3.436,GBR,Northern Europe,0,13/04/2020,13037,97068,0,1172
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,26/11/2020,48,1147,960,1173
Montserrat,United Kingdom,16.742498,-62.187366,MSR,Latin America and the Caribbean,29,17/05/2020,1,11,10,1173
Bermuda,United Kingdom,32.3078,-64.7505,BMU,Northern America,0,19/04/2020,5,86,35,1174
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,03/12/2020,2,288,257,1174
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,11/11/2020,1,253,236,1175
British Virgin Islands,United Kingdom,18.4207,-64.64,VGB,Latin America and the Caribbean,29,15/05/2020,1,8,6,1176
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,05/12/2020,2,288,257,1177
Montserrat,United Kingdom,16.742498,-62.187366,MSR,Latin America and the Caribbean,29,16/05/2020,1,11,10,1177
Montserrat,United Kingdom,16.742498,-62.187366,MSR,Latin America and the Caribbean,29,18/05/2020,1,11,10,1177
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,FLK,Latin America and the Caribbean,5,01/05/2020,0,13,13,1178
Isle of Man,United Kingdom,54.2361,-4.5481,IMN,Northern Europe,0,02/11/2020,24,355,324,1179
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,04/12/2020,2,288,257,1180
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,15/11/2020,48,1003,816,1180
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,21/02/2021,85,4026,3842,1180
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,22/02/2021,85,4030,3858,1180
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,11/12/2020,48,1926,1088,1182
Gibraltar,United Kingdom,36.1408,-5.3536,GIB,Southern Europe,0,10/04/2021,94,4277,4180,331
Others,United Kingdom,55.3781,-3.436,GBR,Northern Europe,0,22/12/2020,68307,2110314,0,1182
Isle of Man,United Kingdom,54.2361,-4.5481,IMN,Northern Europe,0,06/05/2020,23,327,271,1183
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,12/12/2020,48,1977,1088,1184
Gibraltar,United Kingdom,36.1408,-5.3536,GIB,Southern Europe,0,11/04/2021,94,4277,4180,319
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,15/12/2020,6,771,741,1184
Montserrat,United Kingdom,16.742498,-62.187366,MSR,Latin America and the Caribbean,29,05/03/2021,1,20,13,1186
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,Latin America and the Caribbean,29,14/12/2020,6,769,741,1186
Others,United Kingdom,55.3781,-3.436,GBR,Northern Europe,0,24/12/2020,69625,2188587,0,1187
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,FLK,Latin America and the Caribbean,5,25/02/2021,0,54,46,1188
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,13/05/2020,0,3,3,1191
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,28/04/2020,1,70,10,1191
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,12/11/2020,1,253,236,1191
Gibraltar,United Kingdom,36.1408,-5.3536,GIB,Southern Europe,0,12/04/2021,94,4277,4181,312
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,20/02/2021,85,4025,3829,1193
Others,United Kingdom,55.3781,-3.436,GBR,Northern Europe,0,12/04/2020,12313,92885,344,1193
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,24/04/2020,34,523,295,1194
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,21/11/2020,48,1094,887,1194
Isle of Man,United Kingdom,54.2361,-4.5481,IMN,Northern Europe,0,27/02/2021,25,484,410,1194
Gibraltar,United Kingdom,36.1408,-5.3536,GIB,Southern Europe,0,13/04/2021,94,4277,4181,301
Others,United Kingdom,55.3781,-3.436,GBR,Northern Europe,0,26/12/2020,70405,2256005,0,1195
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,06/12/2020,2,288,257,1197
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,FLK,Latin America and the Caribbean,5,10/11/2020,0,13,13,1197
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,02/12/2020,2,285,256,1198
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,Latin America and the Caribbean,29,28/11/2020,2,274,252,1199
Channel Islands,United Kingdom,49.3723,-2.3644,Others,Northern Europe,0,25/11/2020,48,1147,960,1199
Bermuda,United Kingdom,32.3078,-64.7505,BMU,Northern America,0,20/12/2020,9,527,276,1200
Anguilla,United Kingdom,18.2206,-63.0686,AIA,Latin America and the Caribbean,29,28/10/2020,0,3,3,1201
British Virgin Islands,United Kingdom,18.4207,-64.64,VGB,Latin America and the Caribbean,29,14/05/2020,1,7,4,1201
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,-7.9467,-14.3559,GBR,Northern Europe,0,28/12/2020,0,4,3,1202
British Virgin Islands,United Kingdom,18.4207,-64.64,VGB,Latin America and the Caribbean,29,27/10/2020,1,71,70,1203
British Virgin Islands,United Kingdom,18.4207,-64.64,VGB,Latin America and the Caribbean,29,04/03/2021,1,153,131,1203
